,id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
0,1,172.31.66.5-72.21.91.29-49690-80-6,172.31.66.5,49690,72.21.91.29,80,6,2018-03-02 12:47:05.189575,116659398,17,16,883,1576,436,0,51.94117647058823,144.555123823161,788,0,98.5,269.1532401192055,21.07845610518237,0.2828747667633258,3645606.187500001,4802150.072203334,10004184,30,116648091,7290505.6875,4411618.046136825,10015474,136,116648119,7776541.266666668,4123730.7193754334,10019699,1159,2,2,0,0,0,0,352,464,0.1457233646962587,0.137151402067067,0,788,74.5151515151515,212.04791929127148,44964.32007575758,0,2,0,4,32,0,1,1,0.9411764705882352,74.51515151515152,51.94117647058823,98.5,0,0,0,0,0,0,0,26,0,47,8192,290,13,20,22492.75,26450.571731662403,88105,11264,9698181.499999998,1022853.7312164257,10004184,6451005,-1,-1,116659398,BENIGN,-1
1,2,172.31.66.5-54.192.16.165-49685-443-6,172.31.66.5,49685,54.192.16.165,443,6,2018-03-02 12:47:03.395301,117286103,52,85,1022,108153,250,0,19.65384615384616,55.105561662081925,1460,0,1272.3882352941173,460.27541170678313,930.8434435748966,1.168083826606465,862397.8161764706,7056433.80117874,58862184,1,117286103,2299727.509803921,11448592.832582174,58862184,14,117223889,1395522.488095238,8968484.285040779,58928101,1,8,10,0,0,0,0,1052,1712,0.443360284551359,0.724723542055106,0,1460,796.8978102189782,710.125975616418,504278.9012451696,0,2,0,18,136,0,1,1,1.6346153846153846,796.8978102189781,19.653846153846157,1272.3882352941175,602,4,467754,104288,75,3661669,0,7,0,789,8192,131,8,20,204789.0,184907.0090667198,335538,74040,58407106.5,643576.7724308422,58862184,57952029,-1,-1,117286103,BENIGN,-1
2,3,172.31.66.5-52.179.17.38-123-123-17,172.31.66.5,123,52.179.17.38,123,17,2018-03-02 12:47:45.823759,64032780,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.998464224105216,0.0624680046688586,21344260.0,36937230.54802871,63995700,18485,64014185,64014185.0,0.0,64014185,64014185,64014295,64014295.0,0.0,64014295,64014295,0,0,0,0,0,0,16,16,0.0312340023344293,0.0312340023344293,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,1,8,18485.0,0.0,18485,18485,63995700.0,0.0,63995700,63995700,-1,-1,0,BENIGN,-1
3,4,172.31.66.5-13.89.187.212-49671-443-6,172.31.66.5,49671,13.89.187.212,443,6,2018-03-02 12:47:41.542805,118622137,6,3,216,372,72,0,36.0,39.43602414037196,124,124,124.0,0.0,4.956916262602823,0.075871167284737,14827767.125,27386759.88879935,59936464,30000,118622137,23724427.4,32384062.807254724,59936464,76978,118543468,59271734.0,1048096.2984916988,60012850,58530618,3,3,0,0,0,0,120,60,0.0505807781898247,0.0252903890949123,0,124,65.33333333333333,53.925875050851054,2908.0,0,0,0,6,9,0,0,0,0.5,65.33333333333333,36.0,124.0,0,0,0,0,0,0,0,24,0,41,254,7556,2,20,77407.0,606.6976182580578,77836,76978,59194738.0,1048958.9687647463,59936464,58453012,-1,-1,118622137,BENIGN,-1
4,5,172.31.66.5-65.55.44.108-49718-443-6,172.31.66.5,49718,65.55.44.108,443,6,2018-03-02 12:49:36.999592,149794,7,6,1088,3852,785,0,155.42857142857144,288.63694447226555,1460,0,642.0,683.6867703853864,32978.62397692831,86.78585257086398,12482.833333333334,17470.56074883654,56657,7,149794,24965.666666666668,28523.272839326604,79121,339,71017,14203.4,12935.894453032615,23942,19,3,3,0,0,0,0,152,132,46.73084369200368,40.0550088788603,0,1460,380.0,547.8667721262168,300157.99999999994,0,2,0,6,12,0,1,2,0.8571428571428571,380.0,155.42857142857142,642.0,0,0,0,0,0,0,0,83,0,296,8192,1023,3,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,149794,BENIGN,-1
5,6,172.31.66.5-52.179.17.38-123-123-17,172.31.66.5,123,52.179.17.38,123,17,2018-03-02 12:49:53.852233,64032596,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.998472840301524,0.0624681841729484,21344198.666666664,36937334.75972394,63995759,18388,64014208,64014208.0,0.0,64014208,64014208,64014147,64014147.0,0.0,64014147,64014147,0,0,0,0,0,0,16,16,0.0312340920864742,0.0312340920864742,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,1,8,18449.0,0.0,18449,18449,63995759.0,0.0,63995759,63995759,-1,-1,0,BENIGN,-1
6,7,172.31.66.5-13.89.187.212-49671-443-6,172.31.66.5,49671,13.89.187.212,443,6,2018-03-02 12:50:40.101415,119999500,5,3,218,374,73,0,43.6,39.8032661976376,125,124,124.66666666666669,0.5773502691896257,4.933353888974538,0.0666669444456018,17142785.714285716,29207392.69318704,59936448,27317,119950475,29987618.75,34537566.64352213,59936448,76607,119952889,59976444.5,51400.29903123133,60012790,59940099,3,3,0,0,0,0,100,60,0.0416668402785011,0.0250001041671006,0,125,74.0,51.63055573702733,2665.714285714286,0,0,0,6,8,0,0,0,0.6,74.0,43.6,124.66666666666669,0,0,0,0,0,0,0,27,0,46,258,7338,2,20,77221.0,868.3271272970803,77835,76607,59898016.5,54350.3485223416,59936448,59859585,-1,-1,298558110,BENIGN,-1
7,8,172.31.66.5-172.31.66.127-138-138-17,172.31.66.5,138,172.31.66.127,138,17,2018-03-02 12:47:37.516178,119455442,2,0,402,0,201,201,201.0,0.0,0,0,0.0,0.0,3.365271546188745,0.0167426445084017,119455442.0,0.0,119455442,119455442,119455442,119455442.0,0.0,119455442,119455442,0,0.0,0.0,0,0,0,0,0,0,0,0,16,0,0.0167426445084017,0.0,201,201,201.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,201.0,201.0,0.0,0,0,0,0,0,0,1,201,0,0,0,0,1,8,0.0,0.0,0,0,119455442.0,0.0,119455442,119455442,-1,-1,0,BENIGN,-1
8,9,172.31.66.5-52.179.17.38-123-123-17,172.31.66.5,123,52.179.17.38,123,17,2018-03-02 12:52:01.880678,64033078,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.99845026971841,0.0624677139524668,21344359.333333336,36937245.84777615,63995817,18609,64014426,64014426.0,0.0,64014426,64014426,64014469,64014469.0,0.0,64014469,64014469,0,0,0,0,0,0,16,16,0.0312338569762334,0.0312338569762334,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,1,8,18609.0,0.0,18609,18609,63995817.0,0.0,63995817,63995817,-1,-1,0,BENIGN,-1
9,10,172.31.66.5-13.89.187.212-49671-443-6,172.31.66.5,49671,13.89.187.212,443,6,2018-03-02 12:52:40.129770,119999535,4,2,145,250,73,0,36.25,41.85988533190219,125,125,125.0,0.0,3.2916794219244268,0.0500001937507507,23999907.0,32805413.36149669,59936470,27759,119950700,39983566.66666666,34559382.5761081,59936470,77829,60012995,60012995.0,0.0,60012995,60012995,2,2,0,0,0,0,80,40,0.0333334625005005,0.0166667312502502,0,125,65.83333333333333,56.14059731305561,3151.766666666667,0,0,0,4,6,0,0,0,0.5,65.83333333333333,36.25,125.0,0,0,0,0,0,0,0,24,0,41,257,7193,2,20,77829.0,0.0,77829,77829,59936435.5,48.79036790187178,59936470,59936401,-1,-1,418586500,BENIGN,-1
10,11,172.31.66.5-52.179.17.38-123-123-17,172.31.66.5,123,52.179.17.38,123,17,2018-03-02 12:54:09.909113,64032869,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.998460056506292,0.062467917843881,21344289.666666664,36937249.02322258,63995751,18515,64014266,64014266.0,0.0,64014266,64014266,64014354,64014354.0,0.0,64014354,64014354,0,0,0,0,0,0,16,16,0.0312339589219405,0.0312339589219405,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,1,8,18515.0,0.0,18515,18515,63995751.0,0.0,63995751,63995751,-1,-1,0,BENIGN,-1
11,12,172.31.66.5-13.33.140.196-49741-443-6,172.31.66.5,49741,13.33.140.196,443,6,2018-03-02 12:53:41.352897,116366740,19,21,1004,18046,365,0,52.84210526315791,98.73886050132144,1460,0,859.3333333333335,681.900163758107,163.70657113879793,0.3437408317875022,2983762.564102564,12972714.156561157,58155124,1,116366740,6464818.888888889,18771055.530832347,58155124,22,116304588,5815229.4,17891289.379232638,58230207,1,7,7,0,0,0,0,392,432,0.1632768950990635,0.1804639366884386,0,1460,476.25,639.7769142443324,409314.4999999999,0,2,0,14,39,0,1,1,1.105263157894737,476.25,52.8421052631579,859.3333333333334,0,0,0,14181,11,6863988,0,25,0,451,8192,127,7,20,90812.0,40249.932198700655,119273,62351,58061402.0,132542.9234927312,58155124,57967680,-1,-1,116366740,BENIGN,-1
12,13,172.31.66.5-13.89.187.212-49671-443-6,172.31.66.5,49671,13.89.187.212,443,6,2018-03-02 12:54:40.158408,119999162,4,2,146,250,73,0,36.5,42.14656965084268,125,125,125.0,0.0,3.3000230451609323,0.050000349169105,23999832.4,32805442.371885803,59936415,29538,119950686,39983562.0,34559317.04684233,59936415,77900,60014385,60014385.0,0.0,60014385,60014385,2,2,0,0,0,0,80,40,0.0333335661127366,0.0166667830563683,0,125,66.0,56.16404543834072,3154.4,0,0,0,4,6,0,0,0,0.5,66.0,36.5,125.0,0,0,0,0,0,0,0,24,0,41,256,7047,2,20,77900.0,0.0,77900,77900,59936393.0,31.11269837220809,59936415,59936371,-1,-1,538614765,BENIGN,-1
