,id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
0,1,172.31.66.11-23.15.8.121-49683-80-6,172.31.66.11,49683,23.15.8.121,80,6,2018-02-22 12:22:51.109054,110588280,16,15,596,768,293,0,37.250000000000014,99.83553141709284,384,0,51.2,135.11645770540738,12.334037567091196,0.280319035615709,3686276.000000001,4896737.3333060285,10197044,32,110567427,7371161.800000001,4565342.051564908,10218427,900,110567388,7897670.571428571,4287310.597511806,10217935,258,2,2,0,0,0,0,332,432,0.1446807925758498,0.1356382430398592,0,384,44.0,116.41935692429615,13553.466666666664,0,2,0,4,30,0,1,1,0.9375,44.0,37.25,51.2,0,0,0,0,0,0,0,19,0,24,8192,980,12,20,43624.09090909091,54195.21716065828,189723,20835,10007960.181818184,351066.24206773774,10197044,8976661,-1,-1,110588280,BENIGN,-1
1,2,172.31.66.11-23.52.91.27-49689-80-6,172.31.66.11,49689,23.52.91.27,80,6,2018-02-22 12:22:51.575427,117631936,17,17,873,3930,431,0,51.3529411764706,142.89460328178538,1460,0,231.1764705882353,491.4726893854476,40.83074854774132,0.2890371539919227,3564604.1212121206,4814161.096826363,10171806,6,117600873,7350054.562499999,4493380.998219506,10202844,228,117601008,7350062.999999999,4500709.242277503,10202874,18,2,2,0,0,0,0,352,484,0.1445185769959613,0.1445185769959613,0,1460,141.2647058823529,367.8886778940582,135342.0793226381,0,2,0,4,33,0,1,1,1.0,141.26470588235293,51.35294117647059,231.1764705882353,0,0,0,0,0,0,0,25,0,115,8192,980,13,20,33667.833333333336,9106.155688557188,62582,30935,9766404.916666668,1218886.670985338,10171806,5899855,-1,-1,117631936,BENIGN,-1
2,3,172.31.66.11-72.21.91.29-49692-80-6,172.31.66.11,49692,72.21.91.29,80,6,2018-02-22 12:22:53.312634,117577955,24,20,2627,4728,436,0,109.45833333333334,192.58425127870584,788,0,236.4,370.4879286335223,62.554243267796245,0.3742198101676457,2734371.046511628,4418448.0056047095,10191546,16,117566710,5111596.086956522,4966195.502817678,10202828,122,117566702,6187721.157894737,4846292.746922553,10202793,628,6,6,0,0,0,0,492,544,0.2041198964550795,0.1700999137125662,0,788,167.1590909090909,290.8206466537143,84576.64852008455,0,2,0,12,43,0,1,1,0.8333333333333334,167.1590909090909,109.45833333333331,236.4,0,0,0,0,0,0,0,59,0,107,8192,298,17,20,583749.4545454545,1549338.4701603046,5132416,11190,10104133.272727272,80906.56668663054,10191546,9937215,-1,-1,117577955,BENIGN,-1
3,4,172.31.66.11-108.174.11.1-49754-443-6,172.31.66.11,49754,108.174.11.1,443,6,2018-02-22 12:22:57.954629,117112683,15,14,1028,4184,402,0,68.53333333333333,113.79233382831744,1460,0,298.8571428571429,540.0264747274836,44.5041464894114,0.2476247598221279,4182595.821428571,15284212.284514507,58686061,2,117112683,8365191.642857143,21154315.307137188,58686061,28,117020130,9001548.461538462,21952026.56577636,58878129,2,7,9,0,0,0,0,312,292,0.1280817723217902,0.1195429875003376,0,1460,179.72413793103445,394.4526856066086,155592.921182266,0,2,0,16,28,0,1,2,0.9333333333333332,179.72413793103448,68.53333333333333,298.85714285714283,0,0,0,0,0,0,0,35,0,144,8192,16,7,20,213845.5,103894.49225295824,287310,140381,58296097.5,551491.6705304804,58686061,57906134,-1,-1,117112683,BENIGN,-1
4,5,172.31.66.11-52.179.17.38-123-123-17,172.31.66.11,123,52.179.17.38,123,17,2018-02-22 12:23:33.459731,64032483,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.998478131794452,0.0624682944123844,21344161.0,36936716.12892067,63995007,18697,64013786,64013786.0,0.0,64013786,64013786,64013704,64013704.0,0.0,64013704,64013704,0,0,0,0,0,0,16,16,0.0312341472061922,0.0312341472061922,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,1,8,18779.0,0.0,18779,18779,63995007.0,0.0,63995007,63995007,-1,-1,0,BENIGN,-1
5,6,172.31.66.11-52.84.34.223-49685-443-6,172.31.66.11,49685,52.84.34.223,443,6,2018-02-22 12:22:51.303552,116763378,53,91,1022,118297,250,0,19.283018867924536,54.63986194883821,1460,0,1299.9670329670328,433.0476866363552,1021.8871879503178,1.2332633953087586,816527.1188811188,6852910.554284249,58279726,0,116763378,2245449.576923077,11290998.078136552,58279726,18,116654209,1296157.8777777778,8631299.510778109,58352833,0,8,8,0,0,0,0,1072,1832,0.4539094441066958,0.7793539512020626,0,1460,828.604166666667,709.410572026381,503263.3597027972,0,2,0,16,143,0,1,1,1.7169811320754718,828.6041666666666,19.28301886792453,1299.967032967033,602,4,845505,114432,81,3042433,0,7,0,821,8192,131,8,20,172345.0,133440.94910483813,266702,77988,58154722.5,176781.6450441052,58279726,58029719,-1,-1,116763378,BENIGN,-1
6,7,172.31.66.11-209.85.203.149-49716-443-6,172.31.66.11,49716,209.85.203.149,443,6,2018-02-22 12:22:54.714487,118452879,32,33,2091,10086,363,0,65.34374999999997,83.01636425350706,1430,0,305.6363636363636,453.50708499026086,102.80037178328102,0.5487414113421423,1850826.234375,10292874.383185577,58889045,1,118452879,3821060.6129032257,14658112.08314806,58889045,24,118243098,3695096.8125,14469012.188709222,59076322,1,17,21,0,0,0,0,652,672,0.2701496178915162,0.278591793450626,0,1430,187.3384615384615,347.6057068056365,120829.72740384612,0,2,0,38,64,0,1,1,1.03125,187.33846153846156,65.34375,305.6363636363636,1656,12,245770,3354,9,53494,0,32,0,155,8192,180,17,20,412490.5,318436.34651920624,637659,187322,58709049.5,254552.07726612643,58889045,58529054,-1,-1,118452879,BENIGN,-1
7,8,172.31.66.11-152.195.13.100-49727-443-6,172.31.66.11,49727,152.195.13.100,443,6,2018-02-22 12:22:55.526027,116540795,16,15,886,5909,257,0,55.375,84.96420815064815,1460,0,393.9333333333333,575.719731747844,58.30576323080686,0.2660012744893322,3884693.1666666665,14714111.43873411,58139269,0,116540795,7769386.333333332,20399462.097228967,58139269,236,116431514,8316536.714285715,21116783.427807987,58244199,0,7,9,0,0,0,0,332,312,0.1372909803815908,0.1287102941077414,0,1460,219.1935483870968,433.43676350419247,187867.4279569893,0,2,0,16,30,0,1,1,0.9375,219.1935483870968,55.375,393.9333333333333,0,0,0,5189,4,5889897,0,28,0,190,8192,292,7,20,201592.0,20296.79304717866,215944,187240,58014173.0,176912.4597986247,58139269,57889077,-1,-1,116540795,BENIGN,-1
8,9,172.31.66.11-13.33.164.33-49742-443-6,172.31.66.11,49742,13.33.164.33,443,6,2018-02-22 12:22:57.462616,117604676,15,14,852,7745,220,0,56.8,81.27923649810133,1460,0,553.2142857142858,664.6950924552293,73.1008348681646,0.246588834614025,4200167.0,15347577.077025073,58905949,5,117604676,8400334.0,21241921.488575988,58905949,36,117511950,9039380.76923077,22037093.140092444,59061314,11,7,7,0,0,0,0,312,292,0.1275459489382888,0.1190428856757362,0,1460,296.4482758620689,521.6941897186578,272164.8275862069,0,2,0,14,28,0,1,1,0.9333333333333332,296.4482758620689,56.8,553.2142857142857,0,0,0,6997,5,84301204,0,29,0,267,8192,127,7,20,217731.5,87089.39249127875,279313,156150,58538169.0,520119.4639695769,58905949,58170389,-1,-1,117604676,BENIGN,-1
9,10,172.31.66.11-31.13.71.36-49740-443-6,172.31.66.11,49740,31.13.71.36,443,6,2018-02-22 12:22:57.462376,117597499,15,15,898,4232,272,0,59.86666666666666,88.78293486819143,1410,0,282.1333333333333,470.42805228956354,43.62337671824126,0.2551074661885454,4055086.172413794,15111894.88922656,58977412,5,117597499,8399821.357142858,21273705.114038784,58977412,134,117581051,8398646.500000002,21281198.35536373,58993892,19,7,11,0,0,0,0,348,312,0.1275537330942727,0.1275537330942727,0,1410,171.0,351.3082937270045,123417.5172413793,0,2,0,18,29,0,1,1,1.0,171.0,59.86666666666667,282.1333333333333,0,0,0,526,4,6180,0,29,0,141,8192,123,7,20,143220.5,82784.52640741505,201758,84683,58612818.5,515613.07245307503,58977412,58248225,-1,-1,117597499,BENIGN,-1
