,id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
0,1,172.31.66.11-72.21.91.29-49691-80-6,172.31.66.11,49691,72.21.91.29,80,6,2018-02-20 12:29:12.116260,116830401,17,16,883,1576,436,0,51.94117647058823,144.555123823161,788,0,98.5,269.1532401192055,21.04760386810621,0.2824607269814986,3650950.031250001,4805526.387357053,10004070,20,116819063,7301191.4375,4409885.654138861,10015357,172,116819096,7787939.733333333,4120228.473212351,10019003,506,2,2,0,0,0,0,352,464,0.1455100714753174,0.1369506555061811,0,788,74.5151515151515,212.04791929127148,44964.32007575758,0,2,0,4,32,0,1,1,0.9411764705882352,74.51515151515152,51.94117647058823,98.5,0,0,0,0,0,0,0,26,0,47,8192,290,13,20,22331.66666666667,26047.981465446464,87978,11279,9712590.25,972610.2578564852,10004070,6624999,-1,-1,116830401,BENIGN,-1
1,2,172.31.66.11-23.219.88.153-49683-80-6,172.31.66.11,49683,23.219.88.153,80,6,2018-02-20 12:29:10.486542,119949735,17,16,597,768,293,0,35.11764705882354,97.0643358505978,384,0,47.99999999999999,131.16096980428287,11.379766699776368,0.2751152388956924,3748429.21875,4880263.721503773,10014314,18,119917495,7494843.4375,4440002.050239076,10046611,1840,119917461,7994497.4,4135040.414010153,10048426,498,2,2,0,0,0,0,352,464,0.141726032158387,0.1333892067373054,0,384,41.36363636363637,113.21434819122368,12817.488636363634,0,2,0,4,32,0,1,1,0.9411764705882352,41.36363636363637,35.11764705882353,48.0,0,0,0,0,0,0,0,18,0,23,8192,980,13,20,45253.99999999999,30034.53958664621,124002,32288,9947870.583333334,192154.01487701497,10014314,9342320,-1,-1,119949735,BENIGN,-1
2,3,172.31.66.11-52.84.122.248-49684-443-6,172.31.66.11,49684,52.84.122.248,443,6,2018-02-20 12:29:10.510525,116674854,24,29,1022,30069,250,0,42.583333333333314,75.59440781402829,1460,0,1036.8620689655172,640.5462916324923,266.4755852190739,0.4542538360493685,2243747.1923076925,11284239.99477463,58232897,1,116674854,5072819.739130435,16738576.700049978,58232897,21,116612896,4164746.285714285,15258204.269587323,58302389,1,8,7,0,0,0,0,492,592,0.2056998502865064,0.2485539857628619,0,1460,586.6226415094338,687.8347080740763,473116.58563134976,0,2,0,15,52,0,1,1,1.2083333333333333,586.622641509434,42.583333333333336,1036.8620689655172,602,4,806970,26204,19,5958162,0,19,0,567,8192,131,8,20,186728.0,164628.600795852,303138,70318,58119524.0,160333.6342069249,58232897,58006151,-1,-1,116674854,BENIGN,-1
3,4,172.31.66.11-13.65.245.138-123-123-17,172.31.66.11,123,13.65.245.138,123,17,2018-02-20 12:29:52.921948,64055852,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.997384220258283,0.0624455045887142,21351950.666666664,36909741.45830478,63971649,42076,64013776,64013776.0,0.0,64013776,64013776,64013725,64013725.0,0.0,64013725,64013725,0,0,0,0,0,0,16,16,0.0312227522943571,0.0312227522943571,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,1,8,42127.0,0.0,42127,42127,63971649.0,0.0,63971649,63971649,-1,-1,0,BENIGN,-1
4,5,172.31.66.11-13.65.245.138-123-123-17,172.31.66.11,123,13.65.245.138,123,17,2018-02-20 12:32:00.949541,64055877,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.997383050426427,0.0624454802172172,21351959.0,36909950.74782578,63971899,41924,64013823,64013823.0,0.0,64013823,64013823,64013953,64013953.0,0.0,64013953,64013953,0,0,0,0,0,0,16,16,0.0312227401086086,0.0312227401086086,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,1,8,41924.0,0.0,41924,41924,63971899.0,0.0,63971899,63971899,-1,-1,0,BENIGN,-1
5,6,172.31.66.11-13.89.184.96-49672-443-6,172.31.66.11,49672,13.89.184.96,443,6,2018-02-20 12:31:42.357698,76638,2,1,72,124,72,0,36.0,50.91168824543142,124,124,124.0,0.0,2557.478013518098,39.145071635481095,38319.0,12681.253013799544,47286,29352,76638,76638.0,0.0,76638,76638,0,0.0,0.0,0,0,1,1,0,0,0,0,40,20,26.096714423654063,13.048357211827032,0,124,65.33333333333334,62.26823695378996,3877.333333333333,0,0,0,2,3,0,0,0,0.5,65.33333333333333,36.0,124.0,0,0,0,0,0,0,0,24,0,41,258,7700,0,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,76638,BENIGN,-1
6,7,172.31.66.11-13.65.245.138-123-123-17,172.31.66.11,123,13.65.245.138,123,17,2018-02-20 12:34:08.977182,64055857,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.997383986291839,0.0624454997144133,21351952.333333336,36909850.86617637,63971777,42022,64013799,64013799.0,0.0,64013799,64013799,64013835,64013835.0,0.0,64013835,64013835,0,0,0,0,0,0,16,16,0.0312227498572066,0.0312227498572066,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,1,8,42022.0,0.0,42022,42022,63971777.0,0.0,63971777,63971777,-1,-1,0,BENIGN,-1
7,8,172.31.66.11-54.69.171.226-49765-443-6,172.31.66.11,49765,54.69.171.226,443,6,2018-02-20 12:34:29.623573,100496061,29,32,9175,13377,4079,0,316.3793103448276,746.4087550107181,1460,0,418.03125,626.1619642261484,224.40680535727665,0.6069889644729459,1674934.35,6552998.869374768,29963028,1,100428693,3586739.035714286,9339244.70184959,30030501,17,100428747,3239637.0,8925382.88275237,30030425,1,19,7,0,0,0,0,604,652,0.2885685240936956,0.3184204403792502,0,4079,369.7049180327869,682.045583624787,465186.1781420763,0,2,0,26,60,0,1,1,1.103448275862069,369.7049180327869,316.3793103448276,418.03125,0,0,0,6413,5,29380,0,150,0,219,8192,133,19,20,3513261.666666667,5968314.818069865,10404878,67397,29962969.33333333,71.98842499550419,29963028,29962889,-1,-1,100496061,BENIGN,-1
8,9,172.31.66.11-204.79.197.200-49750-443-6,172.31.66.11,49750,204.79.197.200,443,6,2018-02-20 12:34:28.546525,117629771,16,21,1263,7423,368,0,78.9375,118.52902246566732,1460,0,353.4761904761905,587.7269450218885,73.8418508015288,0.3145462214663327,3267493.638888889,13612593.44167958,58889202,1,117629771,7841984.733333334,20611211.237318624,58889202,32,117552061,5877603.05,18060713.4059978,58969201,1,8,8,0,0,0,0,332,432,0.1360199876611168,0.1785262338052158,0,1460,234.7567567567568,465.5835887121432,216768.07807807808,0,2,0,16,36,0,1,2,1.3125,234.75675675675677,78.9375,353.4761904761905,0,0,0,6801,5,82939024,0,34,0,200,8192,1022,8,20,167988.0,127406.49983419212,258078,77898,58607914.0,397801.3045328032,58889202,58326626,-1,-1,117629771,BENIGN,-1
9,10,172.31.66.11-172.31.0.2-61990-53-17,172.31.66.11,61990,172.31.0.2,53,17,2018-02-20 12:34:29.368106,1858,1,1,34,64,34,34,34.0,0.0,64,64,64.0,0.0,52744.8869752422,1076.4262648008612,1858.0,0.0,1858,1858,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,538.2131324004306,538.2131324004306,34,64,49.0,21.213203435596427,450.0,0,0,0,0,0,0,0,0,1.0,49.0,34.0,64.0,0,0,0,0,0,0,0,17,0,32,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
